RollNo,DOB,DOR      
48243,20.05.1980,31.05.2040
61755,20.06.1990,30.06.2050
66972,10.01.2001,31.01.2061
53148,25.02.1989,28.02.2049
47100,01.09.1984,31.08.2044
23277,05.03.1974,31.03.2034
49344,15.05.1983,31.05.2043
67002,01.08.2002,31.07.2062
66313,20.11.1995,30.11.2055
55866,17.04.1990,30.04.2050
61981,03.06.1990,30.06.2050
53068,06.04.1990,30.04.2050
55213,10.02.1989,28.02.2049
35749,08.10.1968,31.10.2028
66902,30.09.2002,30.09.2062
39428,05.03.1988,31.03.2048
64236,26.06.1990,30.06.2050
57222,02.04.1984,30.04.2044
66163,04.11.1996,30.11.2056
55949,05.03.1985,31.03.2045
59189,20.11.1989,30.11.2049
45284,18.12.1973,31.12.2033
39629,23.03.1989,31.03.2049
61900,30.10.1989,31.10.2049
45859,17.07.1976,31.07.2036
66910,27.10.1999,31.10.2059
62729,18.04.1990,30.04.2050
61632,29.05.1989,31.05.2049
22917,07.05.1978,31.05.2038
23035,07.05.1979,31.05.2039
39086,25.05.1983,31.05.2043
52128,21.06.1987,30.06.2047
63789,05.06.1987,30.06.2047
57377,15.06.1971,30.06.2031
48253,01.03.1987,28.02.2047
60460,20.06.1988,30.06.2048
67099,20.10.1998,31.10.2058
66825,30.05.2000,31.05.2060
61629,30.03.1990,31.03.2050
29230,12.06.1971,30.06.2031
50298,19.04.1986,30.04.2046
49094,23.05.1989,31.05.2049
65380,27.11.1997,30.11.2057
45563,27.03.1971,31.03.2031
61736,03.09.1990,30.09.2050
61631,05.07.1987,31.07.2047
22919,06.06.1972,30.06.2032
64925,06.05.1992,31.05.2052
66915,30.06.1999,30.06.2059
60756,21.11.1990,30.11.2050
64985,20.02.1985,28.02.2045
63762,03.01.1973,31.01.2033
47159,07.05.1988,31.05.2048
61979,17.05.1988,31.05.2048
22017,15.12.1966,31.12.2026
23086,04.05.1976,31.05.2036
64507,14.03.1992,31.03.2052
53083,03.02.1987,28.02.2047
66916,01.10.1996,30.09.2056
63766,22.07.1991,31.07.2051
60484,27.01.1991,31.01.2051
39898,25.01.1982,31.01.2042
66917,03.09.2001,30.09.2061
66437,13.06.2002,30.06.2062
65452,11.07.1999,31.07.2059
66002,06.06.1987,30.06.2047
47243,10.09.1981,30.09.2041
62536,10.01.1985,31.01.2045
66922,14.09.2003,30.09.2063
45529,06.05.1969,31.05.2029
66066,22.12.1998,31.12.2058
45398,05.07.1966,31.07.2026
59904,03.02.1992,29.02.2052
43448,22.05.1981,31.05.2041
66444,23.05.1998,31.05.2058
61518,16.05.1990,31.05.2050
62806,23.02.1990,28.02.2050
59207,23.05.1991,31.05.2051
67471,14.04.2001,30.04.2061
67042,09.09.1997,30.09.2057
61644,30.01.1987,31.01.2047
56082,07.04.1989,30.04.2049
49090,29.03.1984,31.03.2044
67156,19.06.1999,30.06.2059
48659,18.10.1981,31.10.2041
62823,25.06.1987,30.06.2047
61733,28.09.1989,30.09.2049
56009,15.06.1983,30.06.2043
65200,29.05.1996,31.05.2056
46933,01.04.1990,31.03.2050
56193,25.02.1989,28.02.2049
38612,19.07.1976,31.07.2036
62813,21.09.1988,30.09.2048
45554,04.03.1970,31.03.2030
37054,12.09.1972,30.09.2032
59250,12.06.1989,30.06.2049
57437,20.06.1983,30.06.2043
